title,description
Lead Software Engineer - Frontend (Vue),"Vue 3 including Pinia, Composition API, Component based architecture, Vite,Highly skilled with all modern web development including CSS, CSS Preprocessors, HTML, TypeScript, JavaScript. Role & responsibilities Preferred candidate profile"
Data Analyst,"Shift : 10:00AM to 7:00PM IST. Experience with Electron or cross-platform desktop apps (nice to have) Experience a simpler,faster,and more reliable hiring process with Uplers today Preferred Notice Period : Within 30 Days. Opportunity Type: Onsite (Bengaluru). Placement Type: Permanent. (*Note: This is a requirement for one of Uplers Clients)"
"Software Engineer, VP","The skills youll need . Youll need at least 12 years of strong full stack experience in software design and implementation,including being able to exploit programming languages to solve complex problems Experience of leading the implementation of programming best practice,especially around scalability,automation,virtualisation,optimisation,availability and performance"
Senior Software Engineer,"As our Senior Software Engineer,you will be a key member of the engineering team and apply advanced technical knowledge,broad knowledge of software engineering best practices,problem-solving,and creativity to build and maintain software products that achieve technical,business,and customer experience goals Masters / Bachelors degree in computer science or a similar field"
Software Engineer IV,"Bachelor s / master s degree in computer science (or equivalent) plus 10+ years of backend engineering experience,with at least 3 years in a technical leadership role Deep experience in architecting and scaling distributed microservices and event-driven systems Preferred Qualifications Hands-on experience with AWS services (SQS,Lambda,ECS / EKS,API Gateway,etc.)"
Software Engineer II,"resolve issues with due urgency and maintain thorough documentation of all software solutions. . Compile test results to provide data for use in solving problems. Minimum proficiency required in one or more of the following: .NET and C#,SQL,JavaScript Web Frameworks (e.g Practical experience with SDLC and Agile methodologies."
Senior Software Engineer,"R1 is the leading provider of technology-driven solutions that transform the patient experience and financial performance of hospitals,health systems,and medical groups Master s / Bachelor s degree in computer science or a similar field . 9+ years of experience in software / data engineering experience ."
Senior Software Engineer,"Sr. Frontend Engineer Experience: 5-8 Years Exp Salary : 30-45 LPA Preferred Notice Period : less than or equal to 30 days Shift : 10:00 AM to 6:00 PM IST Opportunity Type: Office (Bengaluru) Placement Type: Permanent (*Note: This is a requirement for one of Uplers' Clients) Must have skills required : React.js OR HTML OR CSS OR TypeScript, JavaScript, Node.js OR Express.js Lucio (One of Uplers' Clients) is Looking for: Sr. Frontend Engineer who is passionate about their work, eager to learn and grow, and who is committed to delivering exceptional results. If you are a team player, with a positive attitude and a desire to make a difference, then we want to hear from you. Role Overview Description Job Title: Frontend Engineer Mode: In Office Working hours: Flexible Compensation: 30 LPA to 45 LPA Days: 5 days/week About Lucio: We're an AI product company that wants to transform the legal industry using generative AI. We're a rapidly growing team with a truly innovative product that is already being used at many top law firms in the country. We're building a team of talented developers who are passionate about building products that solve real-world problems. With us, you'll have the opportunity to work on everything from fine-tuning LLMs, creating complex data processing pipelines, optimizing distributed services and more. Don't worry, you won't have to do everything, but you'll always have the option of working on something exciting and new. We're looking to hire a talented Frontend Engineer who is passionate about building beautiful interfaces and new user experiences. You will excel at this role if you: Have an eye for detail Love creating and thinking of new user flows and experiences Want to help build delightful products Must-Have Skills (Essential): Strong Proficiency in Core Web Technologies: JavaScript (ES6+): Deep understanding of core JavaScript concepts, asynchronous programming (Promises, async/await), and modern language features. CSS3: Excellent understanding of CSS fundamentals, layout techniques (Flexbox, Grid), responsive design principles, and CSS preprocessors (like Sass or Less, though Tailwind is a separate ""Good to Have""). React: Solid experience building complex user interfaces with React, including component lifecycle, hooks, state management (even if not a preferred library initially), and routing. UI Design Systems/Component Libraries: Demonstrated experience working with at least one major UI Design System/Component Library. MUI (Preferred) is a significant plus. Familiarity with AntD, Chakra UI, or Mantine is also valuable. State Management: Practical experience with at least one client-side state management library. Redux Toolkit or Zustand (Preferred) indicates a good understanding of managing application state effectively. Server-Side State Management/Data Fetching: Experience with a server-side state management/data fetching library like SWR, React Query (Tanstack Query) (Preferred), or RTK Query is highly desirable, showcasing knowledge of efficient data handling. Form Handling and Validation: Experience with form handling in React and implementing robust validation. Familiarity with react-hook-form (preferred) for form management. Knowledge of zod (preferred) or yup for schema definition and validation. Performance Optimization: Proven ability to identify and implement performance optimizations in frontend applications. This includes techniques like code splitting, lazy loading, memoization, efficient rendering, and optimizing API calls. Good Code Practices: Strong understanding of clean code principles, writing maintainable and scalable code, following coding standards, and using linting and formatting tools (e.g., ESLint, Prettier). Version Control (Git): Proficient in using Git for version control, branching strategies, and collaborating with a team. Understanding of Web Development Fundamentals: Knowledge of HTTP protocols, RESTful APIs, and browser developer tools. Good to Have Skills (Beneficial): Next.js or React Router (Remix): Production experience with these frameworks is a significant plus, indicating familiarity with server-side rendering (SSR), static site generation (SSG), and their respective feature sets. Tailwind CSS: Experience with utility-first CSS frameworks like Tailwind CSS can be beneficial for rapid styling and consistency. Node.js and Express.js: Basic understanding or prior experience with Node.js and Express.js for backend development can be a valuable asset for understanding the full-stack picture and potentially contributing to API integrations or basic backend tasks. Build Tools: Familiarity with build tools like Webpack, Parcel, or Vite. Accessibility (A11y): Awareness of and ability to implement accessible web applications (following WCAG guidelines). We're looking for candidates with 5 to 8 years experience, either through great independent projects or working with companies. You don't necessarily need a degree in CS as long as you have the right skillset. Pay and Benefits: We're happy to offer up to 45 LPA based on experience and skills. We offer great benefits like: unlimited leaves (including sick leaves, period leaves, and more) great flexibility around work timings, an inclusive and diverse working environment. To apply: Submit this technical puzzle with us, if you have done Hack The Box or CTF challenges, you might find it interesting. https://workwithus.lucioai.com/ Please do not ask for hints, you will find the steps to hire for our position at the end of this puzzle. Our puzzle is active & live, and every problem statement has a solution to it. How to apply for this opportunity: Easy 3-Step Process: 1. Click On Apply! And Register or log in on our portal 2. Upload updated Resume & Complete the Screening Form 3. Increase your chances to get shortlisted & meet the client for the Interview! About Our Client: AI powered document automation platform Helping lawyers fall in love with the law again. Enterprise AI solutions for document review, drafting, and more. About Uplers: Our goal is to make hiring and getting hired reliable, simple, and fast. Our role will be to help all our talents find and apply for relevant product and engineering job opportunities and progress in their career. (Note: There are many more opportunities apart from this on the portal.) So, if you are ready for a new challenge, a great work environment, and an opportunity to take your career to the next level, don't hesitate to apply today. We are waiting for you!"
Senior Devops Engineer,"Sr. Devops Engineer Experience: 5-8 Years Exp Salary : 30-40 LPA Preferred Notice Period : less than or equal to 30 days Shift : 10:00 AM to 6:00 PM IST Opportunity Type: Office (Bengaluru) Placement Type: Permanent (*Note: This is a requirement for one of Uplers' Clients) Must have skills required : Terraform OR CI/CD OR Docker, Azure Lucio (One of Uplers' Clients) is Looking for: Sr. Devops Engineer who is passionate about their work, eager to learn and grow, and who is committed to delivering exceptional results. If you are a team player, with a positive attitude and a desire to make a difference, then we want to hear from you. Role Overview Description Job Title: Devops Engineer Mode: In office Working hours: Flexible Days: 5 days/week Experience: 5 to 8 years Compensation: 30 to 40 LPA (Can increase as per experience) About Lucio : We're an AI product company that wants to transform the legal industry using generative AI. We're a rapidly growing team with a truly innovative product that is already being used at many top law firms in the country. We're building a team of talented developers who are passionate about building products that solve real-world problems. With us, you'll have the opportunity to work on everything from fine-tuning LLMs, creating complex data processing pipelines, optimizing distributed services and more. Don't worry, you won't have to do everything, but you'll always have the option of working on something exciting and new. We're looking to hire a Devops Engineer with at least 4 to 6 years of experience to help our IT and Devops team. You'll excel at this role if: You are genuinely interested in computer networks, cloud computing, and distributed systems. You are fluent in Bash, comfortable working in a terminal, and can spin up a VM with an Nginx server effortlessly. You have hands-on experience managing resources on a cloud platformMicrosoft Azure in particularincluding writing Terraform modules, setting up and maintaining CI/CD pipelines, and collaborating with stakeholders to ensure smooth platform operations. You have working experience with MongoDB and can integrate it efficiently within distributed environments. You have some development experience and understand the software lifecycle from a DevOps perspective. You are a strong communicator who can interact confidently with both internal teams and external clients. You are enterprising, proactive, and enthusiastic, always looking for ways to improve systems and workflows. You can work independently and thrive in a fast-paced environment. You are flexible with work hours, open to being on-call on some weekends and working late nights when necessary. Prior experience working with legal teams or understanding legal processes is a plus, though not required. We pride ourselves on our work culture and offer great benefits like: unlimited leaves (including sick leaves, period leaves, and more) great flexibility around work timings, an inclusive and diverse working environment. Our hiring process will have 5 stages: 1 screening call & 3 technical interviews, and a culture-fit interview. We are an inclusive organization and actively promote equality of opportunity for all with the right mix of talent, skills and potential. We welcome all applications from a wide range of candidates. Selection for roles will be based on individual capabilities alone. To apply: Submit this technical puzzle with us, if you have done Hack The Box or CTF challenges, you might find it interesting. https://workwithus.lucioai.com/ Please do not ask for hints, you will find the steps to hire for our position at the end of this puzzle. Our puzzle is active & live, and every problem statement has a solution to it. How to apply for this opportunity: Easy 3-Step Process: 1. Click On Apply! And Register or log in on our portal 2. Upload updated Resume & Complete the Screening Form 3. Increase your chances to get shortlisted & meet the client for the Interview! About Our Client: AI powered document automation platform Helping lawyers fall in love with the law again. Enterprise AI solutions for document review, drafting, and more. About Uplers: Our goal is to make hiring and getting hired reliable, simple, and fast. Our role will be to help all our talents find and apply for relevant product and engineering job opportunities and progress in their career. (Note: There are many more opportunities apart from this on the portal.) So, if you are ready for a new challenge, a great work environment, and an opportunity to take your career to the next level, don't hesitate to apply today. We are waiting for you!"
Java Developer Aws 8years  Experience,"Skills: Java ,springboot,Microservices,Aws Company : Mpahsis Role : Java developer Budget: 25Lpa Experience: 8+y"
Machine Learning Engineer,"Technical Skills: * Programming Languages : Proficient in Python and experience with other languages (e.g.,Java,Scala,R) is a plus Experience: 7+ years of experience in machine learning engineering or a related field"
Senior Python Developer-7+,"Requirements: . 7-10 years of professional experience,with at least 4+ years focused on Python development Experience with machine learning stacks is a plus Experience with relational databases such as PostgreSQL,MySQL,or similar Experience with machine learning stacks such as TensorFlow,Keras,or scikit-learn is a plus. ."
Angular & Node/Golang Full Stack Developer,"Encourage to actively look for innovation and continuous improvement,efficiency in all assigned tasks. . Key Requirements: . Total Experience: 8- 13 years Good to have experience in Jenkins,AWS / Azure,Docker containers,Cloud Native Apps Good knowledge and coding experience in Golang or any similar language like (Java /.NET / C++/Python) Very good communication skills"
Data Analyst Intern,"We re looking for a Data Analyst Intern who is equal parts detective,storyteller,and number enthusiast A chance to make an actual impact - not just an internship where you fetch coffee (though we do love coffee!) Familiarity with Excel and Power BI (willingness to pick up other tools quickly)"
Associate Software Engineer,We are seeking a motivated and enthusiastic fresher to join our team as a Software Engineer - Python
Junior Java Developer,BS / MS in computer science or equivalent work experience 6 months to 2 years experience designing and developing Enterprise / SaaS software
Java Developer with ORMB,"Qualifications: . Bachelors degree in Computer Science,Information Technology,or related field Oracle ORMB certification is a plus. . Experience in customizing and extending ORMB to meet business requirements Proven experience in Java development with a strong grasp of Java EE technologies"
Senior Full Stack Developer,"Job Type: Full Time Experience Required: 5+ Years Agile Methodologies: Experience with Agile frameworks (e.g.,Scrum,Kanban) to facilitate iterative development and continuous improvement"
React/NextJS - Software Developer,"Optimize application for maximum speed and scalability CCNA Certification . Mandatory Skills and Qualifications : . Proficient in advanced JavaScript libraries and ReactJS / Angular framework,Flutter Framework. Proficient understanding of web mark-up,including HTML5,CSS3 Proficient understanding of cross-browser compatibility issues and ways to work around"
Software Developer Intern,"Solve technical problems and write clean,efficient code. Deserving candidates will be offered a full time position Any computer science fresher is required Willingness to work hard,ask questions,and collaborate. BYOD (Bring Your Own Device)"
Software Engineer(Node.js),"Night shift allowances. RingCentral s Engineering team works on high-complexity projects that set the standard for performance and reliability at massive scale Bachelor s degree in a technical discipline or equivalent experience Skills & Experience: . Strong understanding of software solutions,cloud environments (AWS preferred),and API integrations (HTTP / REST)"
Flight Safety and Reliability Data Scientist,Bachelors Degree from an accredited university or college (or a high school diploma / GED with at least 6 years of experience in Job Family Group(s)/Function(s) Good understanding of big data architecture and data modelling
Sr. Software Engineer,"As a Sr Software Engineer at GE Aerospace, you will be responsible for development & implementation of software solutions to solve business needs. This role will require you to work independently and contribute to design discussions in close partnership with POD Lead & Technical Product Manager. If youre a passionate problem solver and contribute consistently, this is the role for you! Roles Overview: In this role, you will: Be responsible for defining, developing, and evolving software in a fast paced and agile development environment using the latest software development technologies and infrastructure Work with POD Lead & Technical Product Managers to prioritize requirements and define execution plans Write testable code that meets the teams quality, performance, scalability and documentation standards Contribute in process improvements to increase standards, efficiency and quality while eliminating duplication, leveraging reuse where necessary Work with Product Line Leaders (PLLs) to understand product requirements & vision Translate requirements / vision into prioritized list of user stories and deliver to required timelines and quality standards Support process improvements which guide the development, sustaining & support activities Work cross functionally with other business departments to align activities and deliverables Ensure team receives consistent messages and has clear understanding of business direction, strategy and results Apply principles of SDLC and methodologies like Lean/Agile/XP, CI, Software and Product Security, Scalability, Documentation Practices, refactoring and Testing Techniques Understand performance parameters and assess application performance Proactively share information across the team, to the right audience with the appropriate level of detail and timeliness Ideal Candidate: Should have experience in J ava17 & Spring Boot experience. Proven experience working with AWS Services (Compute, Storage, Databases & Developer Tools) Education Qualification Bachelor's Degree in Computer Science or STEM Majors (Science, Technology, Engineering and Math) with proven development experience of minimum 6 years. Desired Characteristics & Technical Expertise: Proven Java17 & Spring Boot experience Proven experience working with AWS Services (Compute, Storage, Databases & Developer Tools) Proven experience in building and maintaining CI/CD pipelines Experience in UI development (Ideally in VueJS) Demonstrable knowledge of Serverless Architectures Proven QA/Test automation Experience Comfortable with Windows and Unix / Linux based programming Humble: respectful, receptive, agile, eager to learn Transparent: shares critical information across the organization, speaks with candor, contributes constructively Focused: quick learner, strategically prioritizes work to maximize customer impact, committed Business Acumen: Demonstrates the initiative to explore alternate technology and approaches to solving problems Skilled in breaking down problems, documenting problem statements and estimating efforts Demonstrates awareness about competitors and industry trends Has the ability to analyze impact of technology choices Leadership: Ability to takes ownership of small and medium sized tasks and deliver while mentoring and helping team members Ensures understanding of issues and presents clear rationale. Able to speak to mutual needs and win-win solutions. Uses two-way communication to influence outcomes and ongoing results Identifies misalignments with goals, objectives, and work direction against the organizational strategy. Makes suggestions to course correct Continuously measures deliverables of self and team against scheduled commitments. Effectively balances different, competing objectives Personal Attributes: Excellent oral and written communication skills Effective interpersonal skills Effective team building and problem solving abilities Persists to completion, especially in the face of overwhelming odds and setbacks. Pushes self for results; pushes others for results through team spirit"
Udaan Intern - Data Analyst - Seller Experience,"Bachelor s degree in a relevant field (e.g.,Data Analytics,Statistics,Mathematics,Computer Science) Proficiency in SQL,Python and Microsoft excel The ideal candidate will have to be a. self-starter,must have a strong analytical mindset,a passion for solving complex problems,and have the ability to. work with large datasets with great ease"
Lead Software Engineer,". Hands-on experience with containerized 12-factor apps,Docker,and Kubernetes Experience with both relational and NoSQL databases Cloud computing experience in Azure,Google Cloud,or AWS (Terraform knowledge is a plus) . (Bonus) Experience with real-time data processing at scale"
Senior Software Engineer - II,Work in close partnership with cross-functional teams and management. Disclaimer: This job description has been sourced from a public domain and may have been modified by Naukri.com to improve clarity for our users
Software Engineer -.NET,Exposure to Agile methodologies and collaborative software development practices. . Strong problem-solving and troubleshooting skills. . Good communication skills and ability to work in a team environment. . Software engineers are expected to adopt Gen AI in software development and be cognizant of cost and value of Gen AI in software development.
Software Engineer - CDN,"Together,you ll ensure a world-class digital shopping experience by improving performance,resilience,and security across our CDN platforms. . WHO YOU ARE . We are looking for people with . 3+ years of professional experience,including 1+ year of hands-on CDN management. . Strong knowledge of CDN architecture,HTTP / HTTPS protocols,SSL,DNS,and TCP / IP. . ."
JIRA Administrator and Data Analyst,"Certified as a Great Place to Work Bachelor s degree in Computer Science,Information Systems,Data Science,Business Administration,or a related experience. . 5 years of progressive experience in system administration,data analysis,or a related technical role. . Applicants only - No 3rd party agency candidates Education & Experience: . ."
Devops Engineer - Remote,"Responsible for releasing devsecops Infrastucture - Ability to work in European time zone essential - Proven application delopyment,validation,qualification expert with experience leading a large development team with multiple complex projects - Strong experience with develoing various QA application in a regulated environment"
Data Analyst,"Bachelors or Masters degree in Computer Science,Statistics,Mathematics,or a related field. Required Skills & Qualifications: . 8 -12 years of experience in data analytics,business intelligence,or related roles Experience with ETL tools and data integration processes"
Java Developer,"Solid experience with Kafka,PostgreSQL,and MongoDB Were looking for someone with around 3+ years of experience in software development and a 4-year degree or equivalent experience.The role involves working on highly scalable distributed systems,with hands-on experience in designing,developing,and deploying large-scale data platforms"
Java Developer - Contract - 6 Months - Bangalore,Proven experience developing and maintaining in Java 2 years of experience in XCode (must) Experience JDBC database
Senior Data Scientist,"Should be passionate to build a team and own up the growth,i.e.,Level of ownership of an engagement Minimum Experience - 2 to 4 years Proficient coding skills in R / R Shiny Experience with SQL and data retrieval"
Urgent Hiring Software Engineer- Java - Bangalore ( SaaS Product ),"Proven working experience in J2Ee,Relational Databases,SQL,ORM technologies (JPA2,Hibernate),Spring Boot,Spring Framework,JSP,Github 2+ years of proven hands-on Software Development experience"
Lead Software Engineer,"Role Overview: The Lead Software Engineer is responsible for leading a team of developers in designing, developing, and delivering high-quality software solutions. This role involves hands-on coding, architecture design, mentoring junior engineers, and collaborating with cross-functional teams to ensure scalable, secure, and efficient applications. Key Responsibilities: Lead and mentor a team of software engineers, ensuring best practices in coding, design, and architecture. Design and develop scalable, high-performance applications using modern technologies. Collaborate with product managers, architects, QA, and DevOps teams to define requirements and deliver solutions. Own technical design and architecture decisions, ensuring maintainability and scalability. Review code, provide feedback, and enforce engineering standards. Implement DevOps practices such as CI/CD pipelines, automated testing, and monitoring. Ensure application security, performance optimization, and reliability. Stay updated with emerging technologies and recommend adoption where appropriate. Manage project timelines, task allocations, and ensure on-time delivery. Act as a bridge between technical teams and business stakeholders."
Senior Software Engineer,". position / job description . Understanding the new requirement / feature requests from the design Lead / Consultant to improve / enhance the efficiency in our products and solutions . Design,develop and deploy high-quality enhancements in accordance with Manhattan framework and standards for our on-prem and cloud solutions"
Software Engineer - CDN,"ABAP debugging. . Hands-on experience with external system integrations. . Good MS Office skills for documentation and presentations. . 5 8 years of experience within the SAP FI-CA module,with at least 2 implementations and 1 support project . . Strong understanding of SD FI-CA integration. . Experience working in Agile environments. . ."
Senior Software Engineer-Mern Stack,"About the Role: We are seeking a talented Full Stack Web Developer with hands-on experience in React and Node.js to join our growing development team. You will be responsible for designing, developing, and maintaining full-stack web applications, working across the front-end and back-end to build high-performance, scalable, and user-friendly solutions. Key Responsibilities: Develop and maintain web applications using React on the front end and Node.js/Express on the back end. Collaborate with UI/UX designers to implement responsive and interactive user interfaces. Design and develop RESTful APIs and integrate third-party services. Write clean, well-structured, and maintainable code following best practices. Work closely with other developers, designers, and product managers in an Agile environment. Optimize applications for speed, scalability, and performance. Participate in code reviews, testing, and deployment processes. Required Skills & Qualifications: Bachelors degree in Computer Science, Software Engineering, or a related field (or equivalent work experience). Strong proficiency in JavaScript (ES6+) . Solid experience with React.js , including component-based architecture, hooks, and state management. Proficient in Node.js and Express.js for building scalable back-end services. Experience with MongoDB , PostgreSQL , or other relational/non-relational databases. Familiarity with RESTful API development and JSON-based communication . Experience with Git and version control workflows. Understanding of responsive design and cross-browser compatibility . Preferred Skills: Experience with front-end tooling (Webpack, Babel, Vite). Familiarity with TypeScript . Knowledge of authentication methods (OAuth, JWT). Experience with Docker and containerized environments . Familiarity with CI/CD pipelines (GitHub Actions, Jenkins). Experience working with cloud platforms (AWS, GCP, or Azure)."
"Senior Software Engineer-Embedded systems, C/C++","Expertise in C,C++ programming,design patterns,and multi-threading. . Hands-on experience with RTOS / Linux platform,unit test frameworks,and tracking tools like JIRA and version control systems like Github,Gerrit,etc."
Senior Software Engineer,"Front-End Development: Develop and maintain user interfaces using React or Next js This includes building reusable components, managing application state, and ensuring the application is responsive and performant Back-End Development: Design, build, and maintain scalable and secure RESTful APIs and microservices using Java with Spring Boot 2 You will be responsible for business logic, data persistence, and API integrations Database Management: Work with relational and NoSQL databases to design schemas, write efficient queries, and manage data Collaboration: Work closely with product managers, designers, and other engineers to understand requirements, define technical solutions, and deliver high-quality software Code Quality: Ensure code quality through unit testing, integration testing, and participation in code reviews Adhere to best practices in software development Deployment & Maintenance: Assist in the deployment and maintenance of applications in a production environment, including troubleshooting and performance optimization"
Senior Software Engineer,"You will be responsible for business logic, data persistence, and API integrations Database Management: Work with relational and NoSQL databases to design schemas, write efficient queries, and manage data Collaboration: Work closely with product managers, designers, and other engineers to understand requirements, define technical solutions, and deliver high-quality software Code Quality: Ensure code quality through unit testing, integration testing, and participation in code reviews Adhere to best practices in software development Deployment & Maintenance: Assist in the deployment and maintenance of applications in a production environment, including troubleshooting and performance optimization"
Java Developer,"Good Working knowledge and Web Framework experience with Spring MVC,JPA,Spring Boot,Hibernate and Micro services . Java Full stack: (MUST SKILL). Must to have skills . Strong hands experience on one of the JS frameworks Angular 8+ (or )React JS Working experience in developing web services using HTTP REST / JSON Good to Have. ."
Software Engineer,"Role & responsibilities Hands on exp Python , Qlik sense, Data lakes, Dashboard Building Preferred candidate profile Preferred candidates who have experience of Dashboard Building"
Java Full Stack Developer,"Optimize applications for maximum speed and scalability . 4 to 8 years of professional experience in full-stack development Solid experience with front-end development using React.js Experience with RESTful APIs and web services Experience with cloud service providers like Azure,which can be crucial for developing scalable applications"
Data Scientist,"5+ years of related work experience in similar industries. Work Mode & Relation: Hybrid Mode & Working for NMDC Energy,Abu Dhabi. Role & responsibilities Preferred candidate profile"
Python Software Developer,"Role & responsibilities Job Summary: We are looking for a seasoned Backend Developer with 58 years of experience in building scalable and high-performance backend systems. The ideal candidate should have strong expertise in Python, FastAPI, SQL, and MongoDB, and be passionate about designing clean APIs and efficient data workflows. Key Responsibilities: Design, develop, and maintain backend services using Python and FastAPI . Build and optimize RESTful APIs for high-performance applications. Write efficient SQL queries and manage relational databases (e.g., PostgreSQL, MySQL). Work with MongoDB for handling NoSQL data and schema design. Collaborate with cross-functional teams including frontend developers, DevOps, and product managers. Ensure code quality through unit testing, integration testing, and code reviews. Monitor application performance and troubleshoot production issues. Document system architecture, APIs, and development processes. Preferred candidate profile 5-8 years of hands-on experience in backend development. Strong proficiency in Python and experience with FastAPI (or similar frameworks like Flask/Django). Solid understanding of SQL and relational database design. Experience with MongoDB and NoSQL data modeling. Familiarity with API design , versioning, and security best practices. Experience with Git and CI/CD pipelines. Understanding of containerization tools like Docker . Excellent problem-solving and communication skills."
DevOps Engineer - BTP(Kyma) - IT Service Base - Bangalore,preferred Terraform) preferred Ansible) preferred GCP) preferred Dynatrace ) preferred ContainerD and Kubernetes )
Data Scientist,"5+ years of experience in Analytics,Machine Learning,AI,Predictive Modeling Masters in computer science / mathematics/supply chain / Statistics preferred Strong quantitative analysis,statistics,programming,and statistical modeling skills Requirements Analysis: Knowledge of tools,methods,and techniques of requirement analysis"
Senior Software Engineer-UI,"Experience level: More than 7 years of experience. Educational Qualification: Bachelors degree in Computer science or related field is required.Top Candidates will also have: Masters degree in computer science,information systems,or closely related disciplines. Other duties as required and requested by management Experience in consuming REST services & restful service"
Senior Software Engineer- AEM,"Designing and developing web applications using the Adobe platform,including site structure,custom components,custom workflows,object model designs (Java APIs),and unit testing Headless CMS experience Good understanding on AEMaacs (Adobe Experience Manager as a cloud solution) . Proficient understanding of AEMaacs (Adobe Experience Manager as a cloud solution)"
Senior Software Engineer - Search,"Basic qualifications: Position requires a four-year degree or equivalent from an accredited college or university ability to design,develop and maintain interfaces and linkage to alternative platforms and software packages.Level Working Knowledge: Has experience with designing data exchange interfaces to and from software product 8+ years of Software Development experience"
Lead Software Engineer-.Net,"Work in an Agile development environment with the ability to design, develop and maintain software solutions to meet functional requirements of current and future product offerings using a combination of Microsoft .NET Core , .Net 4.x, , WebAPI, Restful services, MVC ,MySQL , AI & ML, Kafka and AWS. Delivering results by providing hands-on solutions. Guide a team of software engineers to implementing solutions using Caterpillar defined architecture & design patterns. Follow Caterpillar defined software development practices based on Agile/TDD. This role is purely a technical leadership and individual contributor role without any people management responsibilities. Skills & Experience Required: Overall 12+years along with Solid knowledge in software development fundamentals, software development process, requirements analysis, software design, debugging, documentation, testing and deployment Hands On experience in software design patterns and Architecture principles Excellence with Test-Driven Development and Agile processes. Strong Programming, Designing, Debugging, Problem Solving & troubleshooting skills. Excellence with Agile software development processes Excellence with C#,.NET CORE, .NET FW, Web API. Kafka, AWS and MySQL. Excellence with Service-Oriented Architectures, microservices , Web Services including those based on Restful and WCF. Strong Programming and analytical Skills Good knowledge of pipelines, build and release process. Good knowledge in DB tools (liker SQL Server or MySQL). Commitment towards code quality A true team player who is able to work with distributed teams in a fast paced environment Must have done at least 3 large implementations or multiple projects using these technologies. Other duties as required and requested by management. Excellent communication/interpersonal skills (Nice to Have) Past experience designing or developing for high-transaction rate enterprise systems including hardware devices. Experience with gRPC, Dapper (or) Other ORM software Experience with Other Cloud based services. Experience with MSBUILD,TFS, VSO, GIT,MySQL , Jenkins and AZURE DEVOPS Experience working with a geographically distributed, dynamic and multicultural team AI/ML Technologies hands on experience:Machine Learning libraries (e.g., scikit-learn, TensorFlow, PyTorch), Natural Language Processing (NLP), Computer Vision, data analysis tools (e.g., Pandas, NumPy), cloud AI services (e.g., Azure AI, AWS AI). General expectations: Passion and willingness to learn new technologies. Self-starter, Ability to work well in a small team with good communication skills. Strong work ethic. Self-motivated, able to self-direct, positive attitude. Has a positive ""can do"" attitude. Try to figure out how to do something without understanding all the data points. You are dedicated to delivering high quality and performance solutions You are eager to learn new things, you take ownership and want to get things done Key Responsibilities: (Day to day activity) Software design and development using .NET Core / .NET Framework Architect and designs software solutions based on marketing and technical requirements Collaborates with product owners, team leads and other architects/SMEs; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle. Application performance and monitoring Mentoring the junior developers in the team Design and code reviews for junior developers Helps the team to maintain code & application quality and on time delivery Demonstrates a solution by developing clean code, supporting documentation, flowcharts, layouts, diagrams and code comments Manages timelines/deliveries, highlight/mitigate risks, and provide timely, accurate & regular status updates. Ensures that the product is consistent with the needs of the customers Monitoring APIs and Services deployed in production and support devops & support team on need basis Measures of Success: Participation in the complete product development cycle starting from analysis, architecture, design, coding, integration testing , deployment and maintenance of software Provide ongoing sustaining support to the product, addressing end to end feature enhancements. Review and work with others (Product Management, Technical Architects, Development Engineers, Software Development Manager) to confirm and track feature requirements through to delivery. Follow the processes of an agile development team and participate in the planning and execution of work items. Motivate individual team members to drive tasks to completion and take ownership of features. Experience in Agile methodologies Mentor the junior developers in the team for improving the application and code quality Provide creative and innovative solutions to improve value of the application"
Senior Software Engineer - iOS,. Bachelors degree in Computer Science or a related field . 4-8 years of iOS development experience . .
Software Engineer,"Proven experience in building secure,scalable,and resilient platforms . Strong understanding of microservices architecture and identity management ."
Software Engineer,"Integrate and configure API Gateways (preferably Kong) for routing,security,rate limiting,and observability . Experience with API Gateway platforms (preferably Kong,but also acceptable: Apigee,AWS API Gateway,etc . ) ."
Software Engineer,"Build and maintain CI / CD pipelines using Jenkins,GitHub Actions,and Maven . Monitor,debug,and optimize backend performance in production environments . Key Skills and Qualifications Bachelor s or Master s degree in Computer Science,Software Engineering,or related field . 5 7 years of professional experience in backend software development ."
Senior Software Engineer,"Integrate and configure API Gateways (preferably Kong) for routing,security,rate limiting,and observability . Experience with API Gateway platforms (preferably Kong,but also acceptable: Apigee,AWS API Gateway,etc) ."
Software Engineer,"Mandatory SkillsStrong experience in Python development (APIs,automation,data processing) . Hands-on expertise in MLOps frameworks: Langserve & Langfuse . Proficiency with Docker for containerization . Experience with Kubernetes for orchestration and scaling AI workloads . Experience in secure deployment and compliance practices for AI systems"
Software Engineer,"This role requires a blend of strong programming skills,applied ML knowledge,and experience with modern AI frameworks . Key ResponsibilitiesDesign,develop,and deploy ML / AI applications using TensorFlow and PyTorch . Experience with cloud platforms (AWS,Azure,GCP) ."
Senior Software Engineer,"Required Skills & QualificationsStrong programming expertise in Python (APIs,data structures,automation scripts,frameworks) . Experience with REST APIs,JSON,and cloud integrations (Azure,AWS,or GCP preferred) . Problem-solving mindset with ability to work in agile environments . Nice-to-Have SkillsExposure to LangChain,LlamaIndex,or RAG-based architectures ."
